user,item,weight
215,0,1
996,0,1
1448,0,1
1757,0,1
1850,0,1
1876,0,1
2015,0,1
2836,0,1
2945,0,1
3068,0,1
3421,0,1
3513,0,1
3593,0,1
3740,0,1
3948,0,1
4918,0,1
4931,0,1
5514,0,1
5544,0,1
75,3,1
255,3,1
345,3,1
533,3,1
648,3,1
709,3,1
727,3,1
839,3,1
941,3,1
993,3,1
1431,3,1
1510,3,1
1646,3,1
1705,3,1
1844,3,1
1868,3,1
1973,3,1
2072,3,1
2110,3,1
2133,3,1
2229,3,1
2291,3,1
2298,3,1
2411,3,1
2424,3,1
2540,3,1
2721,3,1
3149,3,1
3321,3,1
3398,3,1
3557,3,1
3879,3,1
3948,3,1
4258,3,1
4315,3,1
4436,3,1
4729,3,1
4861,3,1
4931,3,1
4992,3,1
5188,3,1
5194,3,1
5203,3,1
5261,3,1
5394,3,1
5514,3,1
5544,3,1
967,6,1
1039,6,1
1296,6,1
2141,6,1
2220,6,1
2572,6,1
3163,6,1
3948,6,1
4519,6,1
4931,6,1
4992,6,1
5139,6,1
5194,6,1
5261,6,1
530,7,1
724,7,1
1799,7,1
1838,7,1
1850,7,1
2096,7,1
2572,7,1
3307,7,1
3377,7,1
3603,7,1
3736,7,1
3948,7,1
4341,7,1
4931,7,1
5005,7,1
5139,7,1
5188,7,1
382,8,1
1178,8,1
1837,8,1
2572,8,1
3000,8,1
3307,8,1
3412,8,1
3948,8,1
4002,8,1
4107,8,1
4221,8,1
4931,8,1
5006,8,1
5228,8,1
382,9,1
691,9,1
1043,9,1
1834,9,1
3825,9,1
3948,9,1
4071,9,1
4199,9,1
4502,9,1
4931,9,1
5224,9,1
5242,9,1
570,11,1
648,11,1
1060,11,1
1752,11,1
1853,11,1
1976,11,1
2533,11,1
2815,11,1
2939,11,1
3032,11,1
3557,11,1
3586,11,1
3639,11,1
3662,11,1
3948,11,1
4328,11,1
4618,11,1
4729,11,1
4836,11,1
4931,11,1
4943,11,1
5498,11,1
562,12,1
1164,12,1
2223,12,1
3948,12,1
4931,12,1
5406,12,1
570,13,1
1510,13,1
1705,13,1
2572,13,1
2815,13,1
3055,13,1
3101,13,1
3948,13,1
4307,13,1
4931,13,1
5188,13,1
5514,13,1
12,14,1
44,14,1
72,14,1
108,14,1
116,14,1
135,14,1
154,14,1
158,14,1
226,14,1
258,14,1
388,14,1
476,14,1
515,14,1
548,14,1
557,14,1
590,14,1
648,14,1
676,14,1
681,14,1
724,14,1
777,14,1
793,14,1
812,14,1
830,14,1
867,14,1
901,14,1
959,14,1
960,14,1
993,14,1
1019,14,1
1041,14,1
1043,14,1
1049,14,1
1052,14,1
1058,14,1
1060,14,1
1114,14,1
1120,14,1
1164,14,1
1169,14,1
1183,14,1
1207,14,1
1215,14,1
1410,14,1
1425,14,1
1448,14,1
1487,14,1
1495,14,1
1510,14,1
1542,14,1
1577,14,1
1622,14,1
1645,14,1
1646,14,1
1698,14,1
1703,14,1
1705,14,1
1752,14,1
1755,14,1
1757,14,1
1830,14,1
1832,14,1
1837,14,1
1850,14,1
1874,14,1
1903,14,1
1949,14,1
1956,14,1
1985,14,1
2051,14,1
2055,14,1
2068,14,1
2072,14,1
2088,14,1
2141,14,1
2173,14,1
2178,14,1
2189,14,1
2220,14,1
2232,14,1
2260,14,1
2264,14,1
2286,14,1
2299,14,1
2341,14,1
2344,14,1
2414,14,1
2461,14,1
2472,14,1
2609,14,1
2623,14,1
2659,14,1
2738,14,1
2762,14,1
2778,14,1
2842,14,1
2846,14,1
2857,14,1
2918,14,1
2925,14,1
2939,14,1
2994,14,1
3016,14,1
3030,14,1
3034,14,1
3045,14,1
3046,14,1
3054,14,1
3101,14,1
3134,14,1
3151,14,1
3232,14,1
3278,14,1
3321,14,1
3332,14,1
3359,14,1
3393,14,1
3437,14,1
3494,14,1
3527,14,1
3576,14,1
3581,14,1
3593,14,1
3639,14,1
3734,14,1
3753,14,1
3801,14,1
3822,14,1
3878,14,1
3883,14,1
3948,14,1
3973,14,1
3991,14,1
4013,14,1
4022,14,1
4044,14,1
4103,14,1
4112,14,1
4133,14,1
4137,14,1
4152,14,1
4171,14,1
4220,14,1
4221,14,1
4268,14,1
4282,14,1
4292,14,1
4313,14,1
4317,14,1
4327,14,1
4328,14,1
4351,14,1
4358,14,1
4368,14,1
4396,14,1
4414,14,1
4434,14,1
4436,14,1
4438,14,1
4452,14,1
4483,14,1
4488,14,1
4514,14,1
4519,14,1
4530,14,1
4549,14,1
4603,14,1
4639,14,1
4645,14,1
4652,14,1
4660,14,1
4729,14,1
4791,14,1
4836,14,1
4840,14,1
4901,14,1
4931,14,1
4967,14,1
4978,14,1
5018,14,1
5020,14,1
5047,14,1
5130,14,1
5139,14,1
5207,14,1
5208,14,1
5233,14,1
5242,14,1
5271,14,1
5293,14,1
5330,14,1
5354,14,1
5419,14,1
5427,14,1
5482,14,1
5511,14,1
5514,14,1
5518,14,1
5520,14,1
49,15,1
159,15,1
215,15,1
228,15,1
288,15,1
383,15,1
403,15,1
498,15,1
570,15,1
577,15,1
648,15,1
652,15,1
663,15,1
681,15,1
724,15,1
941,15,1
959,15,1
993,15,1
1002,15,1
1039,15,1
1041,15,1
1164,15,1
1169,15,1
1177,15,1
1183,15,1
1318,15,1
1410,15,1
1448,15,1
1480,15,1
1510,15,1
1580,15,1
1659,15,1
1703,15,1
1705,15,1
1746,15,1
1755,15,1
1762,15,1
1838,15,1
1844,15,1
1850,15,1
1859,15,1
1903,15,1
1926,15,1
1949,15,1
2015,15,1
2051,15,1
2072,15,1
2141,15,1
2220,15,1
2229,15,1
2341,15,1
2411,15,1
2424,15,1
2460,15,1
2500,15,1
2507,15,1
2520,15,1
2572,15,1
2623,15,1
2815,15,1
2857,15,1
2876,15,1
2919,15,1
2923,15,1
3002,15,1
3030,15,1
3046,15,1
3055,15,1
3068,15,1
3101,15,1
3134,15,1
3151,15,1
3232,15,1
3250,15,1
3278,15,1
3307,15,1
3321,15,1
3359,15,1
3398,15,1
3413,15,1
3447,15,1
3557,15,1
3566,15,1
3593,15,1
3639,15,1
3736,15,1
3948,15,1
4044,15,1
4137,15,1
4152,15,1
4171,15,1
4198,15,1
4243,15,1
4254,15,1
4389,15,1
4404,15,1
4514,15,1
4519,15,1
4652,15,1
4702,15,1
4729,15,1
4836,15,1
4861,15,1
4918,15,1
4931,15,1
5020,15,1
5030,15,1
5188,15,1
5194,15,1
5261,15,1
5298,15,1
5310,15,1
5419,15,1
5474,15,1
5498,15,1
5514,15,1
5544,15,1
44,16,1
107,16,1
209,16,1
283,16,1
318,16,1
410,16,1
557,16,1
577,16,1
635,16,1
659,16,1
724,16,1
974,16,1
1036,16,1
1037,16,1
1058,16,1
1089,16,1
1151,16,1
1164,16,1
1192,16,1
1241,16,1
1247,16,1
1276,16,1
1332,16,1
1487,16,1
1502,16,1
1577,16,1
1606,16,1
1612,16,1
1637,16,1
1645,16,1
1651,16,1
1656,16,1
1722,16,1
1771,16,1
1787,16,1
1832,16,1
1859,16,1
1897,16,1
1903,16,1
1949,16,1
2072,16,1
2088,16,1
2112,16,1
2118,16,1
2134,16,1
2178,16,1
2240,16,1
2327,16,1
2382,16,1
2395,16,1
2470,16,1
2473,16,1
2524,16,1
2573,16,1
2601,16,1
2633,16,1
2778,16,1
2803,16,1
2805,16,1
2916,16,1
2960,16,1
2962,16,1
3046,16,1
3223,16,1
3282,16,1
3359,16,1
3426,16,1
3494,16,1
3576,16,1
3639,16,1
3662,16,1
3948,16,1
3967,16,1
4022,16,1
4036,16,1
4079,16,1
4112,16,1
4137,16,1
4192,16,1
4245,16,1
4304,16,1
4313,16,1
4423,16,1
4480,16,1
4530,16,1
4566,16,1
4645,16,1
4833,16,1
4931,16,1
4984,16,1
5018,16,1
5066,16,1
5082,16,1
5112,16,1
5208,16,1
5277,16,1
5314,16,1
5374,16,1
5419,16,1
5427,16,1
5446,16,1
5509,16,1
90,18,1
577,18,1
1164,18,1
1448,18,1
3948,18,1
4282,18,1
4931,18,1
4998,18,1
90,19,1
116,19,1
1242,19,1
1480,19,1
1645,19,1
1830,19,1
2173,19,1
2291,19,1
3948,19,1
4137,19,1
4931,19,1
20,20,1
21,20,1
49,20,1
755,20,1
993,20,1
1448,20,1
1510,20,1
1580,20,1
1677,20,1
1950,20,1
2133,20,1
2220,20,1
2336,20,1
2640,20,1
2919,20,1
3005,20,1
3151,20,1
3232,20,1
3303,20,1
3370,20,1
3782,20,1
3948,20,1
4046,20,1
4153,20,1
4198,20,1
4410,20,1
4514,20,1
4684,20,1
4729,20,1
4931,20,1
5006,20,1
5017,20,1
5158,20,1
5171,20,1
5194,20,1
5259,20,1
5260,20,1
5261,20,1
5500,20,1
135,22,1
388,22,1
515,22,1
577,22,1
590,22,1
812,22,1
844,22,1
1058,22,1
1131,22,1
1164,22,1
1242,22,1
1318,22,1
1425,22,1
1487,22,1
1495,22,1
1612,22,1
1643,22,1
1769,22,1
1862,22,1
1903,22,1
1956,22,1
2072,22,1
2173,22,1
2232,22,1
2284,22,1
2298,22,1
2589,22,1
2859,22,1
2982,22,1
2991,22,1
3054,22,1
3083,22,1
3137,22,1
3332,22,1
3359,22,1
3360,22,1
3527,22,1
3581,22,1
3618,22,1
3734,22,1
3795,22,1
3909,22,1
3948,22,1
4076,22,1
4104,22,1
4245,22,1
4287,22,1
4291,22,1
4292,22,1
4437,22,1
4540,22,1
4592,22,1
4619,22,1
4776,22,1
4791,22,1
4894,22,1
4910,22,1
4931,22,1
5130,22,1
5298,22,1
5487,22,1
5535,22,1
24,23,1
108,23,1
116,23,1
163,23,1
364,23,1
377,23,1
383,23,1
388,23,1
476,23,1
515,23,1
579,23,1
590,23,1
959,23,1
993,23,1
1013,23,1
1058,23,1
1164,23,1
1205,23,1
1207,23,1
1318,23,1
1755,23,1
1769,23,1
1903,23,1
1973,23,1
1985,23,1
2076,23,1
2173,23,1
2260,23,1
2586,23,1
2589,23,1
2791,23,1
2854,23,1
3016,23,1
3137,23,1
3151,23,1
3232,23,1
3293,23,1
3332,23,1
3359,23,1
3403,23,1
3487,23,1
3494,23,1
3525,23,1
3566,23,1
3622,23,1
3669,23,1
3728,23,1
3759,23,1
3760,23,1
3887,23,1
3948,23,1
4013,23,1
4152,23,1
4272,23,1
4282,23,1
4313,23,1
4438,23,1
4452,23,1
4619,23,1
4652,23,1
4861,23,1
4931,23,1
5271,23,1
5293,23,1
5298,23,1
5419,23,1
5487,23,1
993,24,1
1019,24,1
3494,24,1
3948,24,1
4931,24,1
194,25,1
245,25,1
837,25,1
996,25,1
2096,25,1
2572,25,1
3444,25,1
5040,25,1
5379,25,1
47,26,1
288,26,1
328,26,1
663,26,1
993,26,1
1431,26,1
1530,26,1
1855,26,1
2229,26,1
2876,26,1
3163,26,1
3391,26,1
3557,26,1
3603,26,1
3813,26,1
3948,26,1
4031,26,1
4046,26,1
4861,26,1
4931,26,1
4992,26,1
5277,26,1
5514,26,1
90,27,1
130,27,1
205,27,1
218,27,1
258,27,1
377,27,1
383,27,1
388,27,1
408,27,1
509,27,1
562,27,1
577,27,1
709,27,1
724,27,1
725,27,1
802,27,1
812,27,1
835,27,1
850,27,1
1036,27,1
1052,27,1
1056,27,1
1059,27,1
1083,27,1
1164,27,1
1169,27,1
1242,27,1
1258,27,1
1300,27,1
1318,27,1
1430,27,1
1480,27,1
1510,27,1
1559,27,1
1577,27,1
1579,27,1
1612,27,1
1640,27,1
1641,27,1
1832,27,1
1837,27,1
1855,27,1
1950,27,1
2062,27,1
2072,27,1
2076,27,1
2134,27,1
2172,27,1
2223,27,1
2229,27,1
2273,27,1
2317,27,1
2344,27,1
2365,27,1
2395,27,1
2465,27,1
2520,27,1
2623,27,1
2722,27,1
2729,27,1
2752,27,1
2784,27,1
2925,27,1
2994,27,1
3057,27,1
3083,27,1
3091,27,1
3103,27,1
3106,27,1
3140,27,1
3161,27,1
3258,27,1
3270,27,1
3278,27,1
3314,27,1
3321,27,1
3395,27,1
3402,27,1
3440,27,1
3483,27,1
3494,27,1
3516,27,1
3527,27,1
3557,27,1
3575,27,1
3639,27,1
3736,27,1
3774,27,1
3775,27,1
3801,27,1
3862,27,1
3878,27,1
3883,27,1
3903,27,1
3909,27,1
3913,27,1
3945,27,1
4013,27,1
4103,27,1
4145,27,1
4291,27,1
4304,27,1
4429,27,1
4437,27,1
4549,27,1
4557,27,1
4592,27,1
4729,27,1
4911,27,1
4987,27,1
5001,27,1
5018,27,1
5130,27,1
5194,27,1
5208,27,1
5216,27,1
5261,27,1
5282,27,1
5298,27,1
5482,27,1
5511,27,1
24,28,1
72,28,1
90,28,1
118,28,1
154,28,1
158,28,1
226,28,1
262,28,1
276,28,1
300,28,1
328,28,1
377,28,1
388,28,1
500,28,1
548,28,1
562,28,1
577,28,1
604,28,1
623,28,1
648,28,1
651,28,1
660,28,1
676,28,1
724,28,1
793,28,1
831,28,1
835,28,1
898,28,1
904,28,1
959,28,1
1010,28,1
1036,28,1
1041,28,1
1043,28,1
1049,28,1
1054,28,1
1058,28,1
1060,28,1
1114,28,1
1164,28,1
1169,28,1
1183,28,1
1235,28,1
1242,28,1
1258,28,1
1300,28,1
1318,28,1
1354,28,1
1403,28,1
1438,28,1
1448,28,1
1480,28,1
1487,28,1
1510,28,1
1577,28,1
1583,28,1
1597,28,1
1645,28,1
1686,28,1
1703,28,1
1746,28,1
1786,28,1
1795,28,1
1823,28,1
1832,28,1
1837,28,1
1850,28,1
1855,28,1
1903,28,1
1906,28,1
1958,28,1
1981,28,1
2051,28,1
2061,28,1
2068,28,1
2072,28,1
2076,28,1
2112,28,1
2141,28,1
2156,28,1
2172,28,1
2173,28,1
2174,28,1
2178,28,1
2189,28,1
2229,28,1
2232,28,1
2234,28,1
2460,28,1
2465,28,1
2470,28,1
2472,28,1
2492,28,1
2500,28,1
2586,28,1
2589,28,1
2623,28,1
2644,28,1
2659,28,1
2678,28,1
2728,28,1
2762,28,1
2778,28,1
2803,28,1
2854,28,1
2925,28,1
