user,item
3688,180
977,9846
1612,2221
2062,9145
174,3556
2564,1157
4329,4872
3091,11684
3576,281
2947,2661
2818,746
1303,385
3514,6087
2366,1932
3902,2125
2291,7042
2778,6188
4111,13657
5374,890
2791,2574
3494,2038
1978,5206
5498,620
1201,6848
2691,1491
2369,9711
4861,2327
2542,4907
969,14523
500,13609
2721,16124
4427,135
3606,4588
4257,8526
1754,14722
456,6101
1858,13339
4071,6028
2637,14164
4888,11838
201,15699
4452,8786
3209,11690
3537,14521
989,1665
3514,3378
3016,6410
4687,11628
5273,12595
3366,13119
560,3721
3346,2930
3164,8390
597,5710
4994,1172
5312,2966
1662,3067
3860,4130
2088,11200
3948,8907
154,8063
1620,4179
837,14703
4163,9600
1390,767
5295,3765
2876,1164
1968,4621
1079,10656
3603,7987
5132,8332
5376,11768
974,2105
755,9983
2641,4069
248,755
771,13671
1579,8126
4823,11495
5303,2593
982,867
4915,13107
1393,13928
443,3314
4204,15046
1754,9425
4959,8639
4522,11255
3134,10484
4890,7281
5321,4649
5343,16484
1703,7545
3139,5721
1024,8262
1319,6063
4415,1400
4150,12042
4806,3558
993,1564
2867,13722
5249,15493
1682,2351
166,12468
4278,8213
4559,1919
3103,1304
1318,15793
5069,3360
3833,1376
3026,5544
3730,954
2359,6817
200,13720
793,1595
1957,221
2071,4540
1183,1589
4418,2770
2749,16659
3294,10181
71,6612
63,148
5094,7640
4259,5332
183,1086
3101,74
2945,14415
1140,5307
3267,15324
601,7410
2150,5796
2807,9026
5242,11523
4762,6663
2163,2583
2053,13465
4786,9699
4404,368
2998,11253
3696,4361
2445,909
2766,5961
1247,14426
1476,13747
2002,10049
2960,286
2067,9235
3491,14167
427,5174
4418,2755
4243,11965
2239,5728
1825,16106
5009,11635
1121,2651
712,13671
2735,4113
4610,13670
2985,10456
4462,4329
1407,1563
1431,10728
2637,12312
772,4730
4780,15127
1580,7290
75,15817
4391,7810
200,13757
1447,9259
752,11331
654,13675
1457,5602
5410,2888
1689,669
1907,2576
2010,4731
2800,914
985,3938
570,1693
4463,4765
2107,7061
3395,12703
4198,10776
879,14002
715,14017
1410,12316
2653,4418
844,6252
2656,15674
3514,3726
657,906
4098,5030
3597,2969
4470,10166
3481,14116
4070,6304
1612,453
1637,1261
2028,14227
2411,5058
4802,15044
388,39
71,4101
3638,2931
51,12680
5350,9968
4504,3721
4857,9326
2055,8438
2438,3064
5228,14607
5014,11202
4259,2736
4551,8249
5298,636
4033,5291
4895,10976
4379,6355
5217,11754
1142,2901
426,8885
1497,10822
3560,10796
126,14945
1546,12521
3250,11126
3958,2774
2796,478
3299,16503
1144,16318
2498,7350
4728,5068
1177,12121
113,14141
4974,14800
1881,758
1253,3278
3046,17
338,16098
1228,4540
4498,1538
4656,2563
3365,13704
5213,7297
2879,9527
3669,6188
1698,14
4649,9363
1279,13854
3935,3766
610,9581
5261,8366
4301,8816
2182,6321
2900,11161
1075,10213
1190,7652
5360,9067
4198,15380
1867,12744
5379,7115
3344,1266
4282,14
3208,9490
5328,8857
204,12107
751,12187
5326,4448
2572,1662
4924,3428
1822,7280
1689,13500
5216,1917
3785,917
2747,1461
3398,16839
4783,426
4721,669
1238,5052
1538,4823
922,404
4548,16456
3680,13632
2797,1203
2619,1194
1859,3989
1855,489
5118,13769
706,8846
2214,13762
4216,10432
2028,6416
3276,3236
5261,1559
146,3981
4261,2445
2700,9181
1860,1613
662,8581
55,1240
5343,16228
1421,12172
1159,9264
3351,336
4179,3605
4873,11441
3137,477
1746,3962
2939,754
3426,8975
3757,15355
5312,3654
126,16658
2425,2532
5306,4716
1106,11258
4945,13244
1907,14635
1932,1766
2778,8136
4860,2914
706,2770
5333,16399
1390,473
2403,142
5503,10869
1953,13410
839,1636
4160,5738
1144,16228
3403,8275
2638,5735
180,9503
3557,13623
342,4130
3639,9300
1825,1616
5173,10530
2055,5693
2427,6269
4019,3380
2743,13961
4558,8491
2240,1477
2516,7209
3278,586
3895,10103
233,264
354,4778
1448,1095
1133,10112
16,10918
3765,758
3505,7549
1693,47
4663,2748
5436,7545
3663,1928
2862,1199
3561,3585
3500,5733
4131,3021
2744,1720
2235,14352
2110,8434
5419,3783
1597,16065
5188,7335
2906,11892
1483,2200
622,4157
3451,521
2025,13757
2686,14979
417,3627
2272,6310
4259,2966
3866,648
2762,10427
205,7891
4655,14732
205,6310
1070,15659
5144,11336
3288,8935
5320,11203
2864,14675
777,12934
4351,4669
215,1457
2170,4179
2874,5161
2062,15633
1985,3291
64,14767
4996,13448
1210,15266
841,12477
863,33
5459,8160
4808,9046
2298,7535
3278,13343
2559,5161
4938,4002
1721,5451
3076,8818
2503,15061
1984,10836
3028,9760
1573,9598
3388,6290
4976,3563
3401,12847
2947,16590
2416,6472
607,6314
4326,12202
1640,14876
4583,5519
549,12261
3713,4449
4473,4269
3717,15309
876,11164
3063,8687
327,2489
3549,16468
4883,4080
2051,105
2109,14467
3651,129
4931,1871
536,677
1201,15029
5424,10363
5283,14001
1924,6920
2328,4994
3218,15021
1391,15796
2175,13665
4728,5104
5322,11504
2711,8613
4063,1117
5323,6040
3109,11653
4150,12946
498,88
5363,15399
3395,8854
2623,1200
2687,16251
4721,1649
5166,6733
4729,804
4454,7944
1152,3676
5298,2207
3618,12205
5004,12667
1820,10195
2193,8160
1223,8333
3151,6610
1593,5690
3732,1944
2892,7067
3756,9702
3063,9558
4101,1296
3318,1082
2217,16341
3698,10614
3569,4780
764,2719
3623,11839
5254,13757
3651,14510
2108,14631
4038,8756
2026,7536
2046,9442
1454,10600
91,120
4577,14530
4132,1963
3603,14489
597,2710
2290,6962
5049,949
1496,5805
5150,16318
1300,8330
2572,6308
1543,13891
3160,15898
1551,13789
214,7330
694,15722
5172,13942
2712,3225
1843,2781
4198,13036
5339,13863
371,12895
3194,11933
5119,16401
2587,2645
796,4063
1636,15068
12,3307
5493,135
3508,5316
1079,13607
68,8538
3987,569
2277,683
2959,13337
2472,12990
3876,531
116,1002
1494,14988
3359,2920
1024,6640
2089,277
2143,13893
2188,14042
2066,4069
983,15789
741,388
4665,4197
326,7058
1465,13217
2836,15004
275,16420
4647,4573
4720,5148
1329,9241
1231,45
4971,14716
3421,5287
471,6480
735,418
3525,437
4971,14503
4799,10327
1116,2798
44,380
2679,14088
3405,7624
3545,5230
4699,8788
307,2700
2863,9003
4104,15493
2154,1104
750,10055
385,11701
4178,2533
4520,13435
5310,6649
1165,2548
90,11505
1446,2003
3878,7421
578,11138
5208,226
2559,16205
3702,16274
2700,16341
2757,1004
2062,1187
4143,16052
275,15869
410,1226
4852,4730
663,10776
4640,12885
4025,15691
906,4574
1036,2221
2632,15521
2283,13639
204,11879
4393,11670
3784,2446
1534,3091
709,204
1518,9361
3388,14040
5314,7131
4327,5104
1058,1045
3945,9959
2738,14071
2120,3097
4890,12686
2360,6458
5202,15412
3,5056
855,1538
2339,12105
3203,13958
584,6925
2506,11580
82,6679
1542,2284
4620,16427
1748,12752
1504,5219
4903,14654
2128,4273
4137,7096
1192,1004
2291,4699
3773,1301
2044,4235
4532,1403
698,14632
4532,6894
1072,7914
4722,16457
1025,13717
2757,3808
1118,5831
4206,1798
3827,5929
3557,4048
1799,128
5523,5806
2258,8575
5498,10225
2818,1974
991,3019
51,10638
4543,2121
3294,9793
1272,13846
589,3202
1652,1809
5140,378
4452,917
3895,1168
4514,15788
4884,1552
1631,14685
3569,5617
1396,11567
1550,5252
342,13690
4684,14425
1284,4559
1211,196
2925,27
3606,16951
3321,2466
5307,971
1898,1776
4074,1787
2132,1209
4438,2282
2543,3418
724,16
2299,10563
698,12926
3784,2865
2163,3022
33,8982
4500,3755
3741,16274
1342,1485
3369,11619
3877,4749
749,2807
1956,444
3831,11154
1689,12079
4529,3654
4002,7076
2015,11072
3451,11722
1364,15148
3694,8871
3388,13720
1542,88
2292,6537
126,16654
3559,14365
4729,7647
1144,16451
3428,8097
5500,14069
4845,15180
415,12695
2176,16628
3101,1760
5166,15380
5111,15026
400,1980
3123,1049
830,8541
846,12400
5218,881
4019,5631
520,15163
2700,3540
709,6547
5504,2191
3749,5814
857,1286
4554,12614
1838,11958
3699,9960
1996,14459
5401,14646
1521,4519
3737,16718
4341,10471
1762,13846
321,5542
3887,7763
51,2379
744,10363
2943,13568
3694,12203
126,15174
5374,7037
3360,8267
3281,9866
5419,4492
3294,9523
2549,14739
4259,3981
2240,16
1156,16234
1204,4113
3719,16045
3342,5583
2466,2788
5264,4759
773,8842
3359,2438
2290,5726
2488,9539
3952,1122
1991,13751
993,1604
4881,14360
4299,8178
1787,921
3829,13652
169,453
1994,15460
402,3244
2452,3802
3268,12340
718,1926
753,16283
4329,5730
832,9907
533,5695
5308,15068
3606,15055
3569,3569
4950,4467
210,4080
1311,3852
126,6530
659,226
101,6548
4104,120
4757,1933
598,8923
3256,3076
342,13679
70,1009
2630,14057
1241,8818
4180,3815
1107,13675
635,5814
654,13648
1547,13671
780,3981
2516,755
2660,1453
2671,15089
1699,3970
242,8231
4177,364
576,13769
2948,6617
1903,2469
1195,4262
3879,14508
222,9968
3678,3775
433,5905
1819,4127
1080,15252
4207,9006
4418,863
4051,13420
4837,9705
3513,6306
4276,10368
338,7787
2236,1710
1108,16050
3388,13663
2424,3476
1079,15058
649,14938
23,9903
3929,3539
2053,12295
959,14939
3385,10992
4148,16484
3209,407
656,1015
2494,2904
857,6966
3896,14164
5374,5002
4258,978
2141,2826
1149,3510
3977,13873
1105,4421
312,9164
4438,2596
3639,10444
2062,15636
1937,8694
1028,5068
878,441
3956,10521
5349,6581
974,16
4192,83
75,81
4732,8100
3606,16320
331,2770
1058,22
1409,3079
2863,13871
597,6434
5179,5516
3149,453
23,5376
570,11892
4393,13224
3641,809
3132,4840
2266,12629
3771,11749
4151,1082
2714,12735
422,5515
2036,2446
5273,15419
900,12513
5263,8270
2028,7762
5088,5001
1801,6011
1434,16810
4540,16161
2686,9713
4620,11126
3163,3338
2298,3479
4729,85
5277,7255
1831,1928
4988,7336
4064,11511
648,1974
2205,10889
1907,5943
4970,9700
3645,746
4698,2863
3502,15373
3398,1588
3505,8861
500,14591
3178,10495
4238,3685
1921,14509
5180,971
3755,1798
3386,16318
3336,6280
2674,9542
3822,5302
3073,1515
3031,13305
338,15634
2899,974
1457,6466
2803,4651
1645,5710
260,12736
4393,2865
2371,8323
5195,755
1321,3383
5158,10426
557,3025
189,6196
5512,5405
183,5156
1628,8631
1950,2710
730,518
2700,16885
2134,5550
1062,7542
